iterationNumber,iterationDuration(s),cellsPerSecond
1,0.120343,6.97057e+07
2,0.129978,6.45386e+07
3,0.132201,6.34534e+07
4,0.128767,6.51456e+07
5,0.12893,6.50635e+07
6,0.126673,6.62224e+07
7,0.125467,6.68592e+07
8,0.124829,6.72011e+07
9,0.124408,6.74281e+07
10,0.124807,6.72127e+07
11,0.131204,6.39354e+07
12,0.134592,6.23262e+07
13,0.120345,6.97045e+07
14,0.119998,6.99065e+07
15,0.119414,7.02481e+07
16,0.118761,7.06344e+07
