iterationNumber,iterationDuration(s),cellsPerSecond
1,0.132427,6.33451e+07
2,0.143648,5.83972e+07
3,0.143193,5.85825e+07
4,0.140582,5.96707e+07
5,0.143767,5.83487e+07
6,0.143629,5.84047e+07
7,0.142931,5.86897e+07
8,0.14212,5.9025e+07
9,0.140322,5.97812e+07
10,0.14241,5.89045e+07
11,0.129886,6.45846e+07
12,0.127319,6.58864e+07
13,0.125434,6.68767e+07
14,0.124637,6.73044e+07
15,0.127625,6.57284e+07
16,0.128956,6.50504e+07
