iterationNumber,iterationDuration(s),cellsPerSecond
1,0.0012559,2.0873e+08
2,0.0002628,9.97504e+08
3,0.0002846,9.21096e+08
4,0.0002939,8.9195e+08
5,0.0002822,9.2893e+08
6,0.0002504,1.0469e+09
7,0.0002519,1.04067e+09
8,0.0002478,1.05789e+09
9,0.0002536,1.03369e+09
10,0.0002502,1.04774e+09
11,0.0002314,1.13286e+09
12,0.0002275,1.15228e+09
13,0.0002259,1.16044e+09
14,0.0002268,1.15584e+09
15,0.0002252,1.16405e+09
16,0.0002239,1.17081e+09
