iterationNumber,iterationDuration(s),cellsPerSecond
1,0.0247263,3.39259e+08
2,0.0287774,2.915e+08
3,0.0278896,3.00779e+08
4,0.0280833,2.98704e+08
5,0.0276184,3.03733e+08
6,0.0276833,3.03021e+08
7,0.0279014,3.00652e+08
8,0.0281602,2.97889e+08
9,0.0276612,3.03263e+08
10,0.0270544,3.10064e+08
11,0.0268727,3.12161e+08
12,0.0274059,3.06088e+08
13,0.0275389,3.04609e+08
14,0.0278028,3.01718e+08
15,0.0267722,3.13333e+08
16,0.0268369,3.12577e+08
