iterationNumber,iterationDuration(s),cellsPerSecond
1,0.0021701,4.83192e+08
2,0.0008071,1.29919e+09
3,0.0012317,8.51324e+08
4,0.0007285,1.43936e+09
5,0.0007033,1.49094e+09
6,0.0007611,1.37771e+09
7,0.0006749,1.55368e+09
8,0.000679,1.54429e+09
9,0.0007214,1.45353e+09
10,0.0017354,6.04227e+08
11,0.0008413,1.24638e+09
12,0.0008287,1.26533e+09
13,0.0007604,1.37898e+09
14,0.0007249,1.44651e+09
15,0.0007383,1.42026e+09
16,0.0007095,1.47791e+09
