iterationNumber,iterationDuration(s),cellsPerSecond
1,0.461825,2.325e+09
2,0.370472,2.89831e+09
3,0.371936,2.8869e+09
4,0.371815,2.88784e+09
5,0.372381,2.88345e+09
6,0.370753,2.89611e+09
7,0.371258,2.89217e+09
8,0.371577,2.88969e+09
9,0.37125,2.89224e+09
10,0.3716,2.88951e+09
11,0.371837,2.88766e+09
12,0.371639,2.88921e+09
13,0.37253,2.88229e+09
14,0.372618,2.88162e+09
15,0.371463,2.89057e+09
16,0.370883,2.8951e+09
