iterationNumber,iterationDuration(s),cellsPerSecond
1,0.452988,2.37035e+09
2,0.371183,2.89275e+09
3,0.366899,2.92653e+09
4,0.366871,2.92675e+09
5,0.367882,2.91872e+09
6,0.368308,2.91534e+09
7,0.383225,2.80185e+09
8,0.377852,2.8417e+09
9,0.383141,2.80247e+09
10,0.408991,2.62534e+09
11,0.372247,2.88449e+09
12,0.370214,2.90033e+09
13,0.36838,2.91476e+09
14,0.367023,2.92555e+09
15,0.367196,2.92417e+09
16,0.380164,2.82441e+09
