iterationNumber,iterationDuration(s),cellsPerSecond
1,0.002151,1.21871e+08
2,0.0013164,1.99137e+08
3,0.001423,1.84219e+08
4,0.0014573,1.79883e+08
5,0.0013942,1.88025e+08
6,0.0011156,2.3498e+08
7,0.0013124,1.99744e+08
8,0.001117,2.34686e+08
9,0.0011383,2.30294e+08
10,0.0011062,2.36977e+08
11,0.0014386,1.82222e+08
12,0.0011849,2.21237e+08
13,0.0011149,2.35128e+08
14,0.0011484,2.28269e+08
15,0.0011091,2.36357e+08
16,0.0012409,2.11253e+08
